Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.4-3104-4-1/1,"Перерубка и извлечение вручную корней кустарников с последующей переноской и складированием на расстояние до 50 м, засыпкой образующихся ям растительной земельной смесью при диаметре кустов 200 мм",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-4-2/1,"Перерубка и извлечение вручную корней кустарников с последующей переноской и складированием на расстояние до 50 м, засыпкой образующихся ям растительной земельной смесью при диаметре кустов 300 мм",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-4-3/1,"Перерубка и извлечение вручную корней кустарников с последующей переноской и складированием на расстояние до 50 м, засыпкой образующихся ям растительной земельной смесью при диаметре кустов 500 мм",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-4-4/1,"Перерубка и извлечение вручную корней кустарников с последующей переноской и складированием на расстояние до 50 м, засыпкой образующихся ям растительной земельной смесью при диаметре кустов 700 мм",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-5-1/1,"Удаление пней пнедробилкой, диаметр пня до 0,5 м",пень,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-5-2/1,"Удаление пней пнедробилкой, диаметр пня более 0,5 м",пень,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-6-1/1,"Вырубка деревьев альпинистами на кладбищах города Москвы, диаметр ствола до 300 мм",шт.,1,Вырубка деревьев в рамках обустройства объекта,73918192.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3104-6-2/1,"Вырубка деревьев альпинистами на кладбищах города Москвы, диаметр ствола более 300 до 500 мм",шт.,1,Вырубка деревьев в рамках обустройства объекта,73918192.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3104-6-3/1,"Вырубка деревьев альпинистами на кладбищах города Москвы, диаметр ствола более 500 мм",шт.,1,Вырубка деревьев в рамках обустройства объекта,73918192.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука
5.4-3104-7-1/1,Расчистка площадей от кустарников и мелколесья диаметром до 100 мм вручную с последующей переноской и складированием на расстояние до 50 м при редкой заросли,га,1,Вырубка кустарников в рамках содержания зеленых насаждений,55217249.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3104-7-2/1,Расчистка площадей от кустарников и мелколесья диаметром до 100 мм вручную с последующей переноской и складированием на расстояние до 50 м при средней заросли,га,1,Вырубка кустарников в рамках содержания зеленых насаждений,55217249.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3104-7-3/1,Расчистка площадей от кустарников и мелколесья диаметром до 100 мм вручную с последующей переноской и складированием на расстояние до 50 м при густой заросли,га,1,Вырубка кустарников в рамках содержания зеленых насаждений,55217249.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3104-8-1/1,Валка деревьев с корня мягких пород диаметр стволов до 16 см,100 шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-8-2/1,Валка деревьев с корня мягких пород диаметр стволов до 20 см,100 шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
